Designator,Mid X,Mid Y,Rotation,Layer
C1,269.8,-217.05,180.0,top
C10,279.0,-206.25,180.0,top
C11,241.4,-193.4,0.0,top
C12,230.3,-158.6,180.0,top
C13,279.4,-162.5,180.0,top
C14,241.4,-199.5,0.0,top
C15,235.4,-158.6,0.0,top
C16,241.3,-196.5,0.0,top
C17,225.5,-154.7,180.0,top
C2,269.8,-219.25,180.0,top
C3,293.8,-220.75,180.0,top
C4,280.4,-215.35,0.0,top
C5,284.75,-204.0,90.0,top
C6,293.8,-223.95,180.0,top
C7,285.0,-162.5,0.0,top
C8,277.8375,-158.7,180.0,top
C9,279.0,-211.5,180.0,top
CN1,235.454999,-169.915,90.0,top
CN2,252.32,-157.865,0.0,top
CN3,309.8,-158.149919,0.0,top
D1,288.0,-231.975,90.0,top
H1,307.0,-235.0,0.0,top
J2,268.791,-227.1238,180.0,top
J3,230.2125,-229.4,0.0,top
J4,223.25,-181.975,90.0,top
J5,240.26,-147.13,0.0,top
J6,297.74,-147.149919,0.0,top
L1,292.5,-212.0,90.0,top
Q1,285.8375,-157.8,-90.0,top
Q2,281.4375,-157.8,-90.0,top
Q3,235.0,-199.2,0.0,top
Q4,229.5,-154.9,-90.0,top
Q5,235.0,-193.8,0.0,top
Q6,234.1,-154.9,-90.0,top
R1,297.5125,-220.75,0.0,top
R10,288.0,-236.9,-90.0,top
R2,293.8,-222.35,180.0,top
R3,288.4,-222.95,-90.0,top
R4,277.8375,-155.3,0.0,top
R5,277.8375,-157.0,0.0,top
R6,231.6,-199.2,-90.0,top
R7,225.5,-158.1,0.0,top
R8,231.6,-195.6,-90.0,top
R9,225.5,-156.4,0.0,top
U1,280.4,-220.15,0.0,top
